"","orthogroup.id","Estimate","SE","z.value","p.value","rep_seq_id"
"67","OG0007313",1.573930146,1.648535433,0.954744505,0.339706917,"CFBP4643_15480"
"68","OG0007315",1.573930146,1.648535433,0.954744505,0.339706917,"CFBP4643_19330"
"69","OG0007360",1.573938635,1.648540741,0.95474658,0.339705868,"CFBP7319_17690"
"70","OG0005511",1.575439288,1.067393104,1.475969145,0.139952176,"2949_11880"
"71","OG0004793",1.579829469,0.901443242,1.752555675,0.079678305,"3307_24820"
"72","OG0004675",1.590772916,0.914312685,1.739856552,0.081884209,"01_36190"
"73","OG0006555",1.592560003,1.458298439,1.092067275,0.274803532,"CFBP2524_30000"
"74","OG0005775",1.592787265,1.286706335,1.237879398,0.215760782,"3046_00590"
"75","OG0003628",1.597852689,0.755533416,2.114866998,0.034441285,"01_32030"
"76","OG0005363",1.600118666,1.180140633,1.355871174,0.17514016,"A2111_34130"
"77","OG0007467",1.600911637,2.01422576,0.794802484,0.426728406,"LMG726_16720"
"78","OG0006258",1.602328431,1.648901578,0.971755047,0.331172424,"CFBP4643_24760"
"79","OG0007037",1.604914723,1.624439941,0.987980339,0.323162277,"CFBP7245_00920"
"80","OG0004195",1.606332786,1.007856036,1.593811745,0.110978206,"01_16960"
"81","OG0004671",1.608351759,0.926420743,1.736092127,0.082547546,"01_31480"
"82","OG0006858",1.614282213,1.436669867,1.123627808,0.261170954,"17_10350"
"83","OG0005671",1.615717846,1.304426144,1.238642642,0.215477869,"3498_14860"
"84","OG0007067",1.615725218,1.571021896,1.028454932,0.30373588,"CFBP8700_16980"
"85","OG0004718",1.615747994,0.906005998,1.783374501,0.074525361,"17_36960"
"86","OG0005227",1.615849585,0.927324258,1.742486052,0.08142343,"01_18370"
"87","OG0007250",1.616327323,1.557074267,1.038054097,0.29924487,"BRIP62409_08470"
"88","OG0007188",1.616835041,1.696756528,0.952897493,0.34064201,"3307_37060"
"89","OG0004406",1.618189219,1.25873056,1.285572362,0.198592348,"3307_33540"
"90","OG0004762",1.618403056,0.889702915,1.819037601,0.068905694,"3004_02770"
"91","OG0007472",1.619308425,1.717469299,0.942845631,0.345759868,"LW16_03010"
"92","OG0006322",1.619554778,1.456465607,1.111975985,0.266148476,"3075_05350"
"93","OG0004439",1.621741815,0.867959863,1.868452546,0.061699019,"01_19910"
"94","OG0002351",1.622512658,0.719815094,2.254068679,0.024191848,"01_35580"
"95","OG0004405",1.624420173,0.731457771,2.220798298,0.026364626,"3307_14160"
"96","OG0004442",1.624420173,0.731457771,2.220798298,0.026364626,"01_35920"
"97","OG0004443",1.624420173,0.731457771,2.220798298,0.026364626,"1311A_04940"
"98","OG0004444",1.624420173,0.731457771,2.220798298,0.026364626,"17_05080"
"99","OG0008145",1.625599164,1.857084692,0.875350042,0.381383473,"BB151-3_13200"
"100","OG0003716",1.626403387,0.909470414,1.788297191,0.073728073,"01_35830"
"101","OG0003736",1.626403387,0.909470414,1.788297191,0.073728073,"17_28000"
"102","OG0004244",1.632707466,1.087197308,1.501758194,0.133159569,"01_29530"
"103","OG0004717",1.633553323,0.915403121,1.784517973,0.074339537,"17_05030"
"104","OG0000799",1.633794053,1.266140265,1.290373664,0.196920951,"01_16760"
"105","OG0005230",1.634682172,0.932344115,1.75330347,0.07954993,"01_26650"
"106","OG0007196",1.63679658,1.498968507,1.091948612,0.274855689,"3376_20430"
"107","OG0007041",1.636941402,1.648447997,0.99301974,0.320700335,"CFBP7342_41580"
