orthogroup.id,Estimate,SE,z.value,p.value
Xanthomonas_OG0000625,0.151795825,2.639655794,0.057505916,0.954142193
Xanthomonas_OG0000626,0.198368024,1.858180806,0.106753887,0.914984231
Xanthomonas_OG0000627,-2.813452179,2.356952258,-1.193682295,0.232602269
Xanthomonas_OG0000628,0.183606184,1.916048234,0.09582545,0.923659204
Xanthomonas_OG0000629,NA,NA,NA,NA
Xanthomonas_OG0000630,0.570456991,0.642759887,0.88751181,0.374803411
Xanthomonas_OG0000631,-2.778265384,2.271351292,-1.223177319,0.22126273
Xanthomonas_OG0000632,-0.259488909,1.565597524,-0.165744328,0.86835816
Xanthomonas_OG0000633,-1.237314609,0.909080262,-1.361062011,0.173494094
Xanthomonas_OG0000634,1.863700577,1.156083162,1.61208176,0.106944149
Xanthomonas_OG0000635,0.641071939,1.607196158,0.398875978,0.68998459
Xanthomonas_OG0000636,0.115889574,2.773869782,0.041779025,0.966674856
Xanthomonas_OG0000637,-0.346803549,1.005068181,-0.345054749,0.730053212
Xanthomonas_OG0000638,0.193239362,2.023673809,0.095489382,0.923926123
Xanthomonas_OG0000639,-0.257127171,1.576541602,-0.163095709,0.870443078
Xanthomonas_OG0000640,-0.615707231,0.610573964,-1.008407282,0.313258979
Xanthomonas_OG0000641,NA,NA,NA,NA
Xanthomonas_OG0000642,0.153260632,2.595179627,0.059055886,0.952907595
Xanthomonas_OG0000643,-0.244093919,1.165737621,-0.209390102,0.834143719
Xanthomonas_OG0000644,-0.492115671,2.329119856,-0.211288255,0.832662347
Xanthomonas_OG0000645,-0.244030104,1.165766795,-0.209330121,0.83419054
