orthogroup.id,Estimate,SE,z.value,p.value
Xanthomonas_OG0000389,-1.152918193,0.804166912,-1.433680217,0.15166354
Xanthomonas_OG0000390,1.562364901,1.036209484,1.507769351,0.131613569
Xanthomonas_OG0000391,-0.760542553,0.755242228,-1.007018047,0.313926102
Xanthomonas_OG0000392,0.018852305,1.010483861,0.018656711,0.985114962
Xanthomonas_OG0000393,0.433787676,1.087772006,0.398785475,0.69005128
Xanthomonas_OG0000394,0.779144121,0.928197086,0.839416685,0.401235524
Xanthomonas_OG0000395,0.429574336,1.085821699,0.395621432,0.692384324
Xanthomonas_OG0000396,0.423995567,1.083268512,0.391403943,0.695498678
Xanthomonas_OG0000397,0.429383884,1.085733919,0.395478005,0.692490151
Xanthomonas_OG0000398,0.429384517,1.085734209,0.395478482,0.692489799
Xanthomonas_OG0000399,-0.561184748,0.837487309,-0.670081495,0.502805841
Xanthomonas_OG0000400,0.687429254,0.445398321,1.543403334,0.122732945
Xanthomonas_OG0000401,-0.577094329,0.71177699,-0.810779692,0.417492199
Xanthomonas_OG0000402,2.181004682,1.601079519,1.362208844,0.173131985
Xanthomonas_OG0000403,0.598545244,0.571571888,1.047191538,0.295011247
Xanthomonas_OG0000404,-0.760542553,0.833763106,-0.912180628,0.36167364
Xanthomonas_OG0000405,-1.384688866,1.329130658,-1.041800411,0.297504224
Xanthomonas_OG0000406,2.392465306,1.449718903,1.650296,0.09888241
Xanthomonas_OG0000407,-1.148833596,1.085522349,-1.058323302,0.289908073
Xanthomonas_OG0000408,0.053817764,1.420080615,0.037897682,0.969769261
Xanthomonas_OG0000409,-2.03852594,0.833632495,-2.445353259,0.014471032
Xanthomonas_OG0000410,-1.993992209,1.734682642,-1.149485307,0.250355922
Xanthomonas_OG0000411,1.358061905,0.793163973,1.712208259,0.086858296
Xanthomonas_OG0000412,-1.684539816,1.102765962,-1.527558769,0.126622125
Xanthomonas_OG0000413,-1.348387083,0.993370966,-1.357385235,0.174658837
Xanthomonas_OG0000414,-0.560311097,0.685485778,-0.817392738,0.413704025
Xanthomonas_OG0000415,0.275221237,0.76551685,0.359523421,0.71920356
Xanthomonas_OG0000416,-2.014736491,1.706664865,-1.180510909,0.237797074
Xanthomonas_OG0000417,0.94553707,0.823257309,1.148531643,0.250749158
Xanthomonas_OG0000418,0.710850734,0.382761053,1.85716579,0.06328757
Xanthomonas_OG0000419,0.609765572,1.20148295,0.507510799,0.611796461
Xanthomonas_OG0000420,-1.010608526,0.323712889,-3.121928597,0.001796705
Xanthomonas_OG0000421,-0.935957268,1.207734814,-0.774969188,0.438357867
Xanthomonas_OG0000422,-0.812496354,0.851448499,-0.954251906,0.339956146
Xanthomonas_OG0000423,-0.31256025,0.925454259,-0.337737113,0.735561304
Xanthomonas_OG0000424,-0.790446092,1.152387654,-0.685920305,0.492763365
Xanthomonas_OG0000425,0.609765572,1.164371394,0.523686493,0.600496612
Xanthomonas_OG0000426,-0.361383094,0.53537776,-0.675005801,0.499672079
Xanthomonas_OG0000427,-0.790446092,1.133951056,-0.697072495,0.485757426
Xanthomonas_OG0000428,-0.714902896,0.854460604,-0.836671571,0.402777203
Xanthomonas_OG0000429,-0.921538856,1.178016081,-0.78228037,0.434049821
Xanthomonas_OG0000430,-1.987783257,1.72463734,-1.152580436,0.249082637
Xanthomonas_OG0000431,-0.790446092,1.214350309,-0.650920979,0.515097498
Xanthomonas_OG0000432,-0.361716072,0.906815118,-0.39888624,0.689977029
Xanthomonas_OG0000433,0.609765572,1.042831815,0.584720914,0.558735389
Xanthomonas_OG0000434,-0.790446092,1.181629175,-0.668945984,0.503529935
Xanthomonas_OG0000435,0.609765572,1.112288463,0.548208124,0.583549005
Xanthomonas_OG0000436,0.307228403,0.448858307,0.68446634,0.493680737
Xanthomonas_OG0000437,0.794828024,1.082603032,0.734182337,0.462837617
Xanthomonas_OG0000438,0.609765572,1.20960173,0.504104414,0.614188005
Xanthomonas_OG0000439,0.263818635,0.765335276,0.344709886,0.730312486
Xanthomonas_OG0000440,-0.935799862,1.220827431,-0.76652919,0.44336149
Xanthomonas_OG0000441,-1.652456252,1.898573918,-0.870367088,0.384099827
Xanthomonas_OG0000442,0.481219245,0.400880037,1.200407107,0.22998127
Xanthomonas_OG0000443,0.701363785,0.567453358,1.235984905,0.216464175
Xanthomonas_OG0000444,0.609765572,1.07085906,0.569417204,0.569073045
Xanthomonas_OG0000445,-0.790446092,1.150883469,-0.686816791,0.492198187
Xanthomonas_OG0000446,-1.724014075,1.554530986,-1.109025224,0.267419301
Xanthomonas_OG0000447,-0.790446092,1.065984213,-0.741517634,0.458379644
Xanthomonas_OG0000448,-0.934866981,1.215786705,-0.76893996,0.441928954
Xanthomonas_OG0000449,0.440110059,0.45739967,0.96220021,0.335949044
Xanthomonas_OG0000450,0.464994826,0.884156024,0.525919423,0.598944193
Xanthomonas_OG0000451,-0.383849409,0.922500844,-0.41609654,0.677339362
Xanthomonas_OG0000452,-0.790446092,1.202047799,-0.657582912,0.510806178
Xanthomonas_OG0000453,1.370013458,1.318645869,1.038954801,0.298825758
Xanthomonas_OG0000454,0.7575857,1.028523019,0.736576319,0.46138004
Xanthomonas_OG0000455,-0.790446092,1.288102085,-0.613651745,0.539445482
Xanthomonas_OG0000456,-1.148833596,1.116148502,-1.029283822,0.303346323
Xanthomonas_OG0000457,-0.790446092,1.153100702,-0.68549615,0.493030889
Xanthomonas_OG0000458,0.906526508,1.189654806,0.762008024,0.446055215
Xanthomonas_OG0000459,-1.498948011,1.536223193,-0.975735829,0.329195392
Xanthomonas_OG0000460,-1.086576352,0.980120869,-1.108614649,0.267596456
Xanthomonas_OG0000461,-1.114306397,2.307568991,-0.482891909,0.629172487
Xanthomonas_OG0000462,-0.364410695,0.779951983,-0.46722196,0.640341084
Xanthomonas_OG0000463,0.212246562,0.73786443,0.287649808,0.773614814
Xanthomonas_OG0000464,-0.790446092,1.128270162,-0.700582288,0.483563735
Xanthomonas_OG0000465,-0.790446092,1.199125404,-0.65918551,0.50977665
Xanthomonas_OG0000466,-1.569370071,1.785439888,-0.878982307,0.379410869
Xanthomonas_OG0000467,-1.642066873,1.878670658,-0.87405787,0.382086739
Xanthomonas_OG0000468,-1.648187641,1.882584988,-0.875491758,0.381306393
Xanthomonas_OG0000469,-0.790446092,1.168486061,-0.676470279,0.49874211
Xanthomonas_OG0000470,1.964153011,1.854308754,1.059237307,0.289491719
Xanthomonas_OG0000471,0.609765572,1.099579105,0.554544524,0.579206243
Xanthomonas_OG0000472,-0.790446092,1.17217316,-0.674342425,0.500093637
Xanthomonas_OG0000473,-0.790446092,1.102803953,-0.716760299,0.473522012
Xanthomonas_OG0000474,-0.280185281,0.841798161,-0.332841404,0.739254003
Xanthomonas_OG0000475,1.228012264,0.760429768,1.614892415,0.106333995
Xanthomonas_OG0000476,-0.790446092,1.120796779,-0.705253714,0.480652359
Xanthomonas_OG0000477,-0.252771467,0.38355428,-0.659023978,0.509880372
Xanthomonas_OG0000478,0.609765572,1.167807576,0.522145586,0.601568969
Xanthomonas_OG0000479,-0.211106902,0.551953559,-0.382472218,0.702111132
Xanthomonas_OG0000480,1.860522873,1.253965207,1.483711719,0.137885416
Xanthomonas_OG0000481,0.609765572,1.131017912,0.539129898,0.589797227
Xanthomonas_OG0000482,0.94562147,0.996561769,0.948883952,0.342679638
Xanthomonas_OG0000483,-0.319383977,0.905212689,-0.352827552,0.724217727
Xanthomonas_OG0000484,-0.384562389,0.776761497,-0.495084258,0.620540645
Xanthomonas_OG0000485,0.846487029,0.366526859,2.309481577,0.020916873
Xanthomonas_OG0000486,0.413495176,0.352454609,1.173187031,0.240720812
Xanthomonas_OG0000487,1.09957546,2.317868277,0.474390832,0.63522123
Xanthomonas_OG0000488,0.394227748,0.383410922,1.028212096,0.30385007
Xanthomonas_OG0000489,-0.126991869,1.370555519,-0.092657223,0.926175882
Xanthomonas_OG0000490,-1.141048364,2.322882846,-0.491220798,0.623270291
Xanthomonas_OG0000491,-0.0466338,1.421812783,-0.032798833,0.973835009
Xanthomonas_OG0000492,-0.572170077,1.162361049,-0.492248151,0.622543929
Xanthomonas_OG0000493,-1.647186491,1.903751965,-0.865231669,0.386911646
Xanthomonas_OG0000494,-0.570097211,1.161208777,-0.490951518,0.623460738
Xanthomonas_OG0000495,0.420541272,1.072803548,0.392002126,0.695056643
Xanthomonas_OG0000496,0.420591542,1.072690826,0.392090183,0.694991581
Xanthomonas_OG0000497,0.245277971,0.392744693,0.624522688,0.532284375
Xanthomonas_OG0000498,1.507918218,1.787739406,0.843477641,0.398961365
Xanthomonas_OG0000499,1.518717412,1.787790344,0.849494135,0.395606392
Xanthomonas_OG0000500,-0.300335063,1.170256994,-0.256640263,0.79745649
Xanthomonas_OG0000501,-0.018639396,1.291987011,-0.014426922,0.988489381
Xanthomonas_OG0000502,2.001217987,1.49628847,1.33745466,0.181074273
Xanthomonas_OG0000503,0.052669367,1.417883654,0.037146466,0.970368223
Xanthomonas_OG0000504,-0.130186779,1.38837612,-0.0937691,0.925292578
Xanthomonas_OG0000505,-1.650446665,1.893887094,-0.871459904,0.38350309
Xanthomonas_OG0000506,-0.570837607,1.161638909,-0.4914071,0.623138543
Xanthomonas_OG0000507,-1.651376531,1.916446735,-0.861686631,0.388859984
Xanthomonas_OG0000508,-1.129859833,2.316451158,-0.487754654,0.625723634
Xanthomonas_OG0000509,-0.038058199,1.4219007,-0.026765722,0.978646593
Xanthomonas_OG0000510,0.552649996,1.160579619,0.476184474,0.633942959
Xanthomonas_OG0000511,0.545088338,1.156267816,0.471420488,0.637340488
Xanthomonas_OG0000512,-1.649721057,0.743897705,-2.217671927,0.02657721
Xanthomonas_OG0000513,-1.148833596,1.160396451,-0.990035427,0.322156803
Xanthomonas_OG0000514,0.622706313,0.49977537,1.245972392,0.212774531
Xanthomonas_OG0000515,-0.151590273,1.415444887,-0.107097262,0.914711819
Xanthomonas_OG0000516,-0.02307754,1.421891738,-0.016230167,0.987050769
Xanthomonas_OG0000517,-1.148833596,1.146813703,-1.001761309,0.316458888
Xanthomonas_OG0000518,-1.650721621,1.893885472,-0.871605831,0.383423448
Xanthomonas_OG0000519,-0.031669678,1.421929032,-0.022272334,0.982230718
Xanthomonas_OG0000520,-0.12538681,1.42246443,-0.088147589,0.929759373
Xanthomonas_OG0000521,-1.644313304,1.889819339,-0.870090209,0.384251108
Xanthomonas_OG0000522,-0.082050843,1.418987197,-0.057823526,0.953889198
Xanthomonas_OG0000523,1.602549025,1.86096128,0.861140445,0.389160696
Xanthomonas_OG0000524,-1.654090235,1.917607874,-0.862580018,0.388368421
Xanthomonas_OG0000525,-1.641196263,1.848916902,-0.887652799,0.374727543
Xanthomonas_OG0000526,-1.592793419,1.818511226,-0.875877694,0.381096527
Xanthomonas_OG0000527,-1.653727197,1.914030773,-0.864002408,0.387586568
Xanthomonas_OG0000528,-1.653727198,1.913536302,-0.864225673,0.387463932
Xanthomonas_OG0000529,-0.124299251,1.237703733,-0.100427305,0.920005093
Xanthomonas_OG0000530,-0.124014981,1.423828604,-0.087099655,0.930592299
Xanthomonas_OG0000531,-0.000866165,0.817985089,-0.001058901,0.999155119
Xanthomonas_OG0000532,2.195165064,1.68749042,1.300845941,0.193311193
Xanthomonas_OG0000533,-0.124048393,1.423829566,-0.087123063,0.930573694
Xanthomonas_OG0000534,0.882634746,0.788849792,1.118888228,0.263187826
Xanthomonas_OG0000535,1.554872818,1.788173568,0.869531261,0.384556617
Xanthomonas_OG0000536,-1.641658837,1.895496771,-0.86608369,0.386444269
Xanthomonas_OG0000537,-0.031882893,0.817719694,-0.038990003,0.968898359
Xanthomonas_OG0000538,-0.055658202,1.364251464,-0.040797612,0.967457243
Xanthomonas_OG0000539,-0.570146219,1.161236953,-0.490981808,0.623439314
Xanthomonas_OG0000540,0.061922759,0.736997314,0.084020332,0.933040267
Xanthomonas_OG0000541,0.120448754,0.676841386,0.177957135,0.85875664
Xanthomonas_OG0000542,1.058390684,1.0317302,1.025840558,0.304966745
Xanthomonas_OG0000543,1.058390684,1.116747151,0.947744244,0.343259671
Xanthomonas_OG0000544,-0.124055732,1.423827418,-0.087128349,0.930569492
Xanthomonas_OG0000545,1.332156109,1.643187245,0.810714733,0.41752951
Xanthomonas_OG0000546,1.087417826,1.486986988,0.731289403,0.464602402
Xanthomonas_OG0000547,1.522428805,1.779629162,0.855475308,0.392288068
