"genes","255531","255527","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p","Empirical_p"
"Xanthomonas_OG0007022","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","3","2","1","1.0","1.0","0.8125"
"Xanthomonas_OG0008563","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","2","1","1","1.0","1.0","0.96875"
"Xanthomonas_OG0009613","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","2","1","1","1.0","1.0","0.90625"
"Xanthomonas_OG0010329","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","3","2","1","1.0","1.0","0.9375"
"Xanthomonas_OG0011348","1","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","2","2","1","0.5","1.0","0.625"
"Xanthomonas_OG0011810","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","1","1","1","1.0","1.0","0.6875"
"Xanthomonas_OG0012183","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","2","2","1","0.5","1.0","0.46875"
"Xanthomonas_OG0002302","1","1","150","45","2","1","98.68421052631578","2.1739130434782608","1.6666666666666667","0.549676815811696","1.0","1.0","2","1","1","1.0","1.0","0.65625"
"Xanthomonas_OG0007086","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","1","1","1","1.0","1.0","0.625"
"Xanthomonas_OG0008564","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","2","1","1","1.0","1.0","1.0"
"Xanthomonas_OG0009628","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","2","2","1","0.5","1.0","0.53125"
"Xanthomonas_OG0010376","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","2","2","1","0.5","1.0","0.4375"
"Xanthomonas_OG0011368","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","3","2","1","1.0","1.0","0.90625"
"Xanthomonas_OG0011811","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","1","1","1","1.0","1.0","0.5625"
"Xanthomonas_OG0012184","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","2","2","1","0.5","1.0","0.59375"
"Xanthomonas_OG0002419","1","1","150","45","2","1","98.68421052631578","2.1739130434782608","1.6666666666666667","0.549676815811696","1.0","1.0","3","1","2","1.0","1.0","0.875"
"Xanthomonas_OG0007087","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","2","1","1","1.0","1.0","1.0"
"Xanthomonas_OG0008571","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","3","2","1","1.0","1.0","0.84375"
"Xanthomonas_OG0009631","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","2","1","1","1.0","1.0","0.90625"
"Xanthomonas_OG0010388","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","3","2","1","1.0","1.0","0.875"
