gene.id,score_enriched_binary,z.score_enriched_binary,p.value_enriched_binary,score_depletion_binary,z.score_depletion_binary,p.value_depletion_binary,score_enriched_rawcounts,z.score_enriched_rawcounts,p.value_enriched_rawcounts,score_depletion_rawcounts,z.score_depletion_rawcounts,p.value_depletion_rawcounts
Xanthomonas_OG0012201,0.272785236,-0.158573773,0.533598702,0.066089597,-0.193805683,0.858836322,0.288349884,-0.183405278,0.514813724,0.061757953,-0.138950219,0.867445198
Xanthomonas_OG0012202,0.272785236,-0.158573773,0.533598702,0.066089597,-0.193805683,0.858836322,0.288349884,-0.183405278,0.514813724,0.061757953,-0.138950219,0.867445198
Xanthomonas_OG0012203,0.272785236,-0.158573773,0.533598702,0.066089597,-0.193805683,0.858836322,0.288349884,-0.183405278,0.514813724,0.061757953,-0.138950219,0.867445198
Xanthomonas_OG0012204,0.272785236,-0.158573773,0.533598702,0.066089597,-0.193805683,0.858836322,0.288349884,-0.183405278,0.514813724,0.061757953,-0.138950219,0.867445198
Xanthomonas_OG0012205,0.272785236,-0.158573773,0.533598702,0.066089597,-0.193805683,0.858836322,0.288349884,-0.183405278,0.514813724,0.061757953,-0.138950219,0.867445198
Xanthomonas_OG0012206,0.272785236,-0.158573773,0.533598702,0.066089597,-0.193805683,0.858836322,0.288349884,-0.183405278,0.514813724,0.061757953,-0.138950219,0.867445198
Xanthomonas_OG0012207,0.272785236,-0.158573773,0.533598702,0.066089597,-0.193805683,0.858836322,0.288349884,-0.183405278,0.514813724,0.061757953,-0.138950219,0.867445198
Xanthomonas_OG0012208,0.272785236,-0.158573773,0.533598702,0.066089597,-0.193805683,0.858836322,0.288349884,-0.183405278,0.514813724,0.061757953,-0.138950219,0.867445198
Xanthomonas_OG0012209,0.272785236,-0.158573773,0.533598702,0.066089597,-0.193805683,0.858836322,0.288349884,-0.183405278,0.514813724,0.061757953,-0.138950219,0.867445198
Xanthomonas_OG0012210,0.272785236,-0.158573773,0.533598702,0.066089597,-0.193805683,0.858836322,0.288349884,-0.183405278,0.514813724,0.061757953,-0.138950219,0.867445198
Xanthomonas_OG0012211,0.272785236,-0.158573773,0.533598702,0.066089597,-0.193805683,0.858836322,0.288349884,-0.183405278,0.514813724,0.061757953,-0.138950219,0.867445198
Xanthomonas_OG0012212,0.272785236,-0.158573773,0.533598702,0.066089597,-0.193805683,0.858836322,0.288349884,-0.183405278,0.514813724,0.061757953,-0.138950219,0.867445198
Xanthomonas_OG0012213,0.272785236,-0.158573773,0.533598702,0.066089597,-0.193805683,0.858836322,0.288349884,-0.183405278,0.514813724,0.061757953,-0.138950219,0.867445198
Xanthomonas_OG0012214,0.272785236,-0.158573773,0.533598702,0.066089597,-0.193805683,0.858836322,0.288349884,-0.183405278,0.514813724,0.061757953,-0.138950219,0.867445198
Xanthomonas_OG0012215,0.272785236,-0.158573773,0.533598702,0.066089597,-0.193805683,0.858836322,0.288349884,-0.183405278,0.514813724,0.061757953,-0.138950219,0.867445198
Xanthomonas_OG0012216,0.272785236,-0.158573773,0.533598702,0.066089597,-0.193805683,0.858836322,0.288349884,-0.183405278,0.514813724,0.061757953,-0.138950219,0.867445198
Xanthomonas_OG0012217,0.272785236,-0.158573773,0.533598702,0.066089597,-0.193805683,0.858836322,0.288349884,-0.183405278,0.514813724,0.061757953,-0.138950219,0.867445198
Xanthomonas_OG0012218,0.272785236,-0.158573773,0.533598702,0.066089597,-0.193805683,0.858836322,0.288349884,-0.183405278,0.514813724,0.061757953,-0.138950219,0.867445198
Xanthomonas_OG0012219,0.272785236,-0.158573773,0.533598702,0.066089597,-0.193805683,0.858836322,0.288349884,-0.183405278,0.514813724,0.061757953,-0.138950219,0.867445198
Xanthomonas_OG0012220,0.272785236,-0.158573773,0.533598702,0.066089597,-0.193805683,0.858836322,0.288349884,-0.183405278,0.514813724,0.061757953,-0.138950219,0.867445198
Xanthomonas_OG0012221,0.272785236,-0.158573773,0.533598702,0.066089597,-0.193805683,0.858836322,0.288349884,-0.183405278,0.514813724,0.061757953,-0.138950219,0.867445198
Xanthomonas_OG0012222,0.272785236,-0.158573773,0.533598702,0.066089597,-0.193805683,0.858836322,0.288349884,-0.183405278,0.514813724,0.061757953,-0.138950219,0.867445198
Xanthomonas_OG0012223,0.272785236,-0.158573773,0.533598702,0.066089597,-0.193805683,0.858836322,0.288349884,-0.183405278,0.514813724,0.061757953,-0.138950219,0.867445198
Xanthomonas_OG0012224,0.272785236,-0.158573773,0.533598702,0.066089597,-0.193805683,0.858836322,0.288349884,-0.183405278,0.514813724,0.061757953,-0.138950219,0.867445198
