"","orthogroup.id","Estimate","SE","z.value","p.value","rep_seq_id"
"63","OG0004002",-3.495051764,0.548196459,-6.375546043,1.82e-10,"84A_30050"
"64","OG0004172",-3.495051764,0.548196459,-6.375546043,1.82e-10,"01_16790"
"65","OG0004173",-3.495051764,0.548196459,-6.375546043,1.82e-10,"01_16930"
"66","OG0010622",-3.494895483,1.460977194,-2.392162929,0.016749405,"FDC1559_47270"
"67","OG0003465",-3.48591284,1.337748047,-2.605806712,0.009165817,"1311A_30600"
"68","OG0010354",-3.485661744,1.481703459,-2.352469196,0.018649234,"DE0062_51020"
"69","OG0009830",-3.481385481,1.324782306,-2.627892496,0.008591566,"DE0062_04870"
"70","OG0003744",-3.462391579,0.694706986,-4.98395964,6.23e-07,"85-10_27490"
"71","OG0000068",-3.457783731,1.074173497,-3.219017915,0.001286304,"01_14550"
"72","OG0005628",-3.452097988,0.618335143,-5.582891461,2.37e-08,"AmX2_32480"
"73","OG0006638",-3.431565258,1.652581916,-2.076487238,0.03784891,"2949_21880"
"74","OG0006964",-3.431565258,1.652581916,-2.076487238,0.03784891,"BP5178_41920"
"75","OG0007156",-3.431565258,1.652581916,-2.076487238,0.03784891,"17_38980"
"76","OG0007157",-3.431565258,1.652581916,-2.076487238,0.03784891,"18048_01150"
"77","OG0007158",-3.431565258,1.652581916,-2.076487238,0.03784891,"18048_38670"
"78","OG0007159",-3.431565258,1.652581916,-2.076487238,0.03784891,"2768_24130"
"79","OG0007343",-3.431565258,1.652581916,-2.076487238,0.03784891,"CFBP6827_19870"
"80","OG0007344",-3.431565258,1.652581916,-2.076487238,0.03784891,"CFBP6988_42850"
"81","OG0007348",-3.431565258,1.652581916,-2.076487238,0.03784891,"CFBP7111_10610"
"82","OG0007349",-3.431565258,1.652581916,-2.076487238,0.03784891,"CFBP7111_10620"
"83","OG0003357",-3.42957414,0.802030304,-4.276115408,1.9e-05,"01_33640"
"84","OG0004215",-3.423765584,0.525076464,-6.520508577,7.01e-11,"01_23390"
"85","OG0004533",-3.4129898,1.991401759,-1.713863003,0.086553889,"01_17270"
"86","OG0006929",-3.4129898,1.991401759,-1.713863003,0.086553889,"A7_01040"
"87","OG0003713",-3.411336074,0.730352941,-4.67080487,3e-06,"01_31370"
"88","OG0003719",-3.411336074,0.730352941,-4.67080487,3e-06,"18048_38140"
"89","OG0012256",-3.403096305,1.678393305,-2.027591683,0.042601939,NA
"90","OG0012257",-3.403096305,1.678393305,-2.027591683,0.042601939,NA
"91","OG0003115",-3.401408021,1.375195669,-2.473399311,0.013383451,"1311A_36940"
"92","OG0010629",-3.383790759,1.63468859,-2.069991055,0.038453182,"FDC1637_13980"
"93","OG0004012",-3.380221683,1.961104681,-1.723631439,0.084774399,"3058_39790"
"94","OG0005849",-3.380221683,1.961104681,-1.723631439,0.084774399,"01_38850"
"95","OG0005850",-3.380221683,1.961104681,-1.723631439,0.084774399,"1311A_06320"
"96","OG0003975",-3.370927345,0.557412676,-6.047453687,1.47e-09,"01_14590"
"97","OG0000182",-3.370651186,0.540784533,-6.232891259,4.58e-10,"1311A_35860"
"98","OG0003712",-3.361364856,0.745590185,-4.508327663,6.53e-06,"01_21180"
"99","OG0009229",-3.360090155,1.942054049,-1.730173348,0.083599309,"Bagalkot_20580"
"100","OG0002990",-3.343969686,1.512377007,-2.211068847,0.02703107,"1311A_28420"
"101","OG0002888",-3.334825949,1.489189046,-2.239357023,0.025132695,"1311A_37180"
"102","OG0005956",-3.332164949,0.673960181,-4.944157004,7.65e-07,"1311A_03800"
"103","OG0003922",-3.326963162,0.715863456,-4.647482889,3.36e-06,"17_23070"
"104","OG0003183",-3.326232785,1.479865469,-2.247658895,0.024597949,"1311A_04910"
"105","OG0002991",-3.318040885,1.515166327,-2.189885577,0.028532536,"1311A_32680"
"106","OG0002992",-3.318040885,1.515166327,-2.189885577,0.028532536,"1311A_35560"
"107","OG0003099",-3.31800257,1.515175029,-2.189847712,0.028535283,"1311A_09120"
"108","OG0007296",-3.309768787,1.913476186,-1.72971517,0.083681177,"CFBP2527R_14440"
"109","OG0007145",-3.306698549,1.909609356,-1.731609943,0.083343035,"1314C_00740"
"110","OG0013791",-3.306020859,1.909173768,-1.731650054,0.083335888,NA
"111","OG0003932",-3.300754178,0.708943548,-4.655877306,3.23e-06,"17_10190"
"112","OG0009227",-3.285533912,1.565315045,-2.098960157,0.035820413,"Bagalkot_19380"
"113","OG0010280",-3.276837702,1.379307056,-2.375712999,0.01751508,"DE0062_47180"
"114","OG0003918",-3.27496377,0.722863842,-4.530540301,5.88e-06,"3307_22370"
"115","OG0005582",-3.267504779,0.605561589,-5.395825685,6.82e-08,"01_29760"
"116","OG0002909",-3.254554853,1.471271949,-2.212068854,0.026961908,"1311A_30190"
"117","OG0010038",-3.237181099,1.375886001,-2.352797467,0.01863278,"DE0062_28430"
"118","OG0014197",-3.23209905,1.88237019,-1.717036886,0.085972433,NA
"119","OG0007345",-3.225840427,1.543370775,-2.090126675,0.036606422,"CFBP6992_19570"
"120","OG0007918",-3.215920525,1.863709951,-1.725547757,0.084428805,"JAI131_08750"
"121","OG0003965",-3.193112548,0.524640116,-6.086291252,1.16e-09,"1311A_05400"
"122","OG0003991",-3.191618852,0.494521715,-6.453950868,1.09e-10,"01_27990"
"123","OG0011346",-3.185695889,1.546936078,-2.059358453,0.039459913,"R1_08570"
"124","OG0012349",-3.183834713,1.513408581,-2.103750932,0.035400179,NA
"125","OG0010276",-3.18081741,1.337755017,-2.377727888,0.017419675,"DE0062_47090"
"126","OG0014196",-3.169089167,1.845630123,-1.717077072,0.085965091,NA
"127","OG0003576",-3.165469201,0.72820347,-4.346957042,1.38e-05,"1311A_06440"
"128","OG0002828",-3.143547415,1.515738048,-2.073938448,0.038085028,"01_38890"
"129","OG0008914",-3.117300392,1.301771568,-2.394660069,0.01663578,"SN8_00780"
"130","OG0003755",-3.110965232,0.583936291,-5.327576447,9.95e-08,"01_06450"
"131","OG0002113",-3.109980425,1.680452851,-1.850679965,0.064215608,"01_08100"
"132","OG0014505",-3.090521162,1.826289616,-1.69224045,0.090600137,NA
"133","OG0010732",-3.079853244,1.800368724,-1.710679152,0.087140358,"LMG27592_00780"
"134","OG0011904",-3.078536183,1.802512754,-1.707913676,0.087652361,NA
"135","OG0009272",-3.064089109,1.782666275,-1.718823737,0.085646472,"Bagalkot_37850"
"136","OG0011694",-3.059954365,1.826342879,-1.675454483,0.093845095,"XNM01_34330"
"137","OG0014512",-3.059585559,1.776175451,-1.722569444,0.084966415,NA
"138","OG0006015",-3.05854374,1.787423212,-1.711146929,0.087053993,"A1809_42490"
"139","OG0006424",-3.05854374,1.787423212,-1.711146929,0.087053993,"CFBP7634_35010"
"140","OG0006641",-3.05854374,1.787423212,-1.711146929,0.087053993,"2955_16340"
"141","OG0007155",-3.05854374,1.787423212,-1.711146929,0.087053993,"17_38970"
"142","OG0007617",-3.05854374,1.787423212,-1.711146929,0.087053993,"BP5178_20260"
"143","OG0007618",-3.05854374,1.787423212,-1.711146929,0.087053993,"BP5178_24110"
"144","OG0007619",-3.05854374,1.787423212,-1.711146929,0.087053993,"BRE_17_08520"
"145","OG0007620",-3.05854374,1.787423212,-1.711146929,0.087053993,"BRE_17_11460"
"146","OG0007621",-3.05854374,1.787423212,-1.711146929,0.087053993,"BRE_17_24440"
"147","OG0007622",-3.05854374,1.787423212,-1.711146929,0.087053993,"BRIP62409_02130"
"148","OG0007624",-3.05854374,1.787423212,-1.711146929,0.087053993,"BRIP62412_01390"
"149","OG0007625",-3.05854374,1.787423212,-1.711146929,0.087053993,"BRIP62412_14900"
"150","OG0007929",-3.05854374,1.787423212,-1.711146929,0.087053993,"LMC_P47_06700"
"151","OG0007930",-3.05854374,1.787423212,-1.711146929,0.087053993,"LMG12459_05840"
"152","OG0007931",-3.05854374,1.787423212,-1.711146929,0.087053993,"LMG12461_06430"
"153","OG0007932",-3.05854374,1.787423212,-1.711146929,0.087053993,"LMG12461_11560"
"154","OG0007933",-3.05854374,1.787423212,-1.711146929,0.087053993,"LMG12461_22970"
"155","OG0007934",-3.05854374,1.787423212,-1.711146929,0.087053993,"LMG12462_20390"
"156","OG0007935",-3.05854374,1.787423212,-1.711146929,0.087053993,"LMG12462_22030"
"157","OG0007936",-3.05854374,1.787423212,-1.711146929,0.087053993,"LMG12462_22040"
"158","OG0007937",-3.05854374,1.787423212,-1.711146929,0.087053993,"LMG12462_36310"
"159","OG0007938",-3.05854374,1.787423212,-1.711146929,0.087053993,"LMG31887_45670"
"160","OG0007939",-3.05854374,1.787423212,-1.711146929,0.087053993,"LMG31887_45890"
"161","OG0007940",-3.05854374,1.787423212,-1.711146929,0.087053993,"LMG31887_46210"
"162","OG0007941",-3.05854374,1.787423212,-1.711146929,0.087053993,"LMG476_19340"
"163","OG0007942",-3.05854374,1.787423212,-1.711146929,0.087053993,"LMG476_21530"
"164","OG0007943",-3.05854374,1.787423212,-1.711146929,0.087053993,"LMG548_03980"
"165","OG0007944",-3.05854374,1.787423212,-1.711146929,0.087053993,"LMG548_11920"
"166","OG0007945",-3.05854374,1.787423212,-1.711146929,0.087053993,"LMG726_12200"
"167","OG0007946",-3.05854374,1.787423212,-1.711146929,0.087053993,"LMG727_06800"
"168","OG0007947",-3.05854374,1.787423212,-1.711146929,0.087053993,"LMG727_34420"
"169","OG0007948",-3.05854374,1.787423212,-1.711146929,0.087053993,"LMG8992_22760"
"170","OG0007949",-3.05854374,1.787423212,-1.711146929,0.087053993,"LMG9002_36740"
"171","OG0007950",-3.05854374,1.787423212,-1.711146929,0.087053993,"LMG911_36700"
"172","OG0007951",-3.05854374,1.787423212,-1.711146929,0.087053993,"M081_26320"
"173","OG0007952",-3.05854374,1.787423212,-1.711146929,0.087053993,"MAFF106181_20120"
"174","OG0007953",-3.05854374,1.787423212,-1.711146929,0.087053993,"MEDV_A37_15750"
"175","OG0007954",-3.05854374,1.787423212,-1.711146929,0.087053993,"MEDV_A37_34110"
"176","OG0007955",-3.05854374,1.787423212,-1.711146929,0.087053993,"MEDV_P25_27210"
"177","OG0007956",-3.05854374,1.787423212,-1.711146929,0.087053993,"MLO165_03450"
"178","OG0007957",-3.05854374,1.787423212,-1.711146929,0.087053993,"MUS060_02330"
"179","OG0007958",-3.05854374,1.787423212,-1.711146929,0.087053993,"MUS060_30610"
"180","OG0007959",-3.05854374,1.787423212,-1.711146929,0.087053993,"MUS060_32940"
"181","OG0007960",-3.05854374,1.787423212,-1.711146929,0.087053993,"Mex-1_03150"
"182","OG0007961",-3.05854374,1.787423212,-1.711146929,0.087053993,"NCPPB1061_31840"
"183","OG0007962",-3.05854374,1.787423212,-1.711146929,0.087053993,"NCPPB1061_32270"
"184","OG0007963",-3.05854374,1.787423212,-1.711146929,0.087053993,"NCPPB1128_41520"
"185","OG0007964",-3.05854374,1.787423212,-1.711146929,0.087053993,"NCPPB1828_24460"
"186","OG0007965",-3.05854374,1.787423212,-1.711146929,0.087053993,"NCPPB1946_14950"
"187","OG0007966",-3.05854374,1.787423212,-1.711146929,0.087053993,"NCPPB2337_22850"
"188","OG0007967",-3.05854374,1.787423212,-1.711146929,0.087053993,"NCPPB2372_26400"
"189","OG0007968",-3.05854374,1.787423212,-1.711146929,0.087053993,"NCPPB2983_18680"
"190","OG0007969",-3.05854374,1.787423212,-1.711146929,0.087053993,"NCPPB2983_19510"
"191","OG0007970",-3.05854374,1.787423212,-1.711146929,0.087053993,"NCPPB2983_23900"
"192","OG0007971",-3.05854374,1.787423212,-1.711146929,0.087053993,"NCPPB2983_29440"
"193","OG0007972",-3.05854374,1.787423212,-1.711146929,0.087053993,"NCPPB3888_19700"
"194","OG0007973",-3.05854374,1.787423212,-1.711146929,0.087053993,"NCPPB3888_33080"
"195","OG0007974",-3.05854374,1.787423212,-1.711146929,0.087053993,"NCPPB464_21700"
"196","OG0007975",-3.05854374,1.787423212,-1.711146929,0.087053993,"PD885_04600"
"197","OG0007976",-3.05854374,1.787423212,-1.711146929,0.087053993,"PD885_04970"
"198","OG0007977",-3.05854374,1.787423212,-1.711146929,0.087053993,"PD885_27630"
"199","OG0007978",-3.05854374,1.787423212,-1.711146929,0.087053993,"PPL2_38400"
"200","OG0007979",-3.05854374,1.787423212,-1.711146929,0.087053993,"PXO99A_01120"
"201","OG0007980",-3.05854374,1.787423212,-1.711146929,0.087053993,"PXO99A_06760"
"202","OG0007981",-3.05854374,1.787423212,-1.711146929,0.087053993,"PXO99A_32440"
"203","OG0007982",-3.05854374,1.787423212,-1.711146929,0.087053993,"R1_31760"
"204","OG0007983",-3.05854374,1.787423212,-1.711146929,0.087053993,"R1_33700"
