gene.id,score_enriched_binary,z.score_enriched_binary,p.value_enriched_binary,score_depletion_binary,z.score_depletion_binary,p.value_depletion_binary,score_enriched_rawcounts,z.score_enriched_rawcounts,p.value_enriched_rawcounts,score_depletion_rawcounts,z.score_depletion_rawcounts,p.value_depletion_rawcounts
Xanthomonas_OG0001723,0,-0.35760666,1,0.282049401,-0.123089306,0.52233677,0.32862729,-0.12303673,0.469215888,0.238668037,-0.148453423,0.577207497
Xanthomonas_OG0001724,0,-0.35760666,1,0.282049401,-0.123089306,0.52233677,0.32862729,-0.12303673,0.469215888,0.238668037,-0.148453423,0.577207497
Xanthomonas_OG0001725,0,-0.35760666,1,0.282049401,-0.123089306,0.52233677,0.32862729,-0.12303673,0.469215888,0.238668037,-0.148453423,0.577207497
Xanthomonas_OG0001726,0,-0.35760666,1,0.282049401,-0.123089306,0.52233677,0.32862729,-0.12303673,0.469215888,0.238668037,-0.148453423,0.577207497
Xanthomonas_OG0001727,0,-0.35760666,1,0.850277035,0.062977726,0.141163678,0.288579214,-0.160063681,0.514541947,0.273717287,-0.129730376,0.532454759
Xanthomonas_OG0001728,1.081565365,0.431538239,0.082877117,0.009334075,-0.212390367,0.978736816,0.489877885,0.026049526,0.323684658,0.143836915,-0.199111501,0.718063886
Xanthomonas_OG0001729,0,-0.35760666,1,0.565470452,-0.030282637,0.271975353,0.308187222,-0.141934851,0.491827466,0.255741223,-0.139333054,0.554956288
Xanthomonas_OG0001730,0.799486817,0.225724651,0.158676709,0.010521027,-0.212001698,0.976065524,0.42760647,-0.031524291,0.373588527,0.173729465,-0.183143124,0.670302031
Xanthomonas_OG0001731,0.320878189,-0.123483607,0.47766323,0,-0.215446825,1,0.373872722,-0.0812045,0.422792503,0.205797646,-0.166012541,0.622590306
Xanthomonas_OG0001732,0.320878189,-0.123483607,0.47766323,0,-0.215446825,1,0.373872722,-0.0812045,0.422792503,0.205797646,-0.166012541,0.622590306
Xanthomonas_OG0001733,0,-0.35760666,1,0.282049401,-0.123089306,0.52233677,0.32862729,-0.12303673,0.469215888,0.238668037,-0.148453423,0.577207497
Xanthomonas_OG0001734,0.33124025,-0.115923114,0.466401298,0.049514451,-0.19923324,0.892247929,0.375729021,-0.079488236,0.420989224,0.204471,-0.166721225,0.624495049
Xanthomonas_OG0001735,0,-0.35760666,1,0.282049401,-0.123089306,0.52233677,0.32862729,-0.12303673,0.469215888,0.238668037,-0.148453423,0.577207497
Xanthomonas_OG0001736,0,-0.35760666,1,0.282049401,-0.123089306,0.52233677,0.32862729,-0.12303673,0.469215888,0.238668037,-0.148453423,0.577207497
Xanthomonas_OG0001737,0,-0.35760666,1,0.282049401,-0.123089306,0.52233677,0.32862729,-0.12303673,0.469215888,0.238668037,-0.148453423,0.577207497
Xanthomonas_OG0001738,0,-0.35760666,1,0.282049401,-0.123089306,0.52233677,0.32862729,-0.12303673,0.469215888,0.238668037,-0.148453423,0.577207497
Xanthomonas_OG0001739,0,-0.35760666,1,0.282049401,-0.123089306,0.52233677,0.32862729,-0.12303673,0.469215888,0.238668037,-0.148453423,0.577207497
Xanthomonas_OG0001740,0,-0.35760666,1,0.282049401,-0.123089306,0.52233677,0.32862729,-0.12303673,0.469215888,0.238668037,-0.148453423,0.577207497
Xanthomonas_OG0001741,0,-0.35760666,1,0.282049401,-0.123089306,0.52233677,0.32862729,-0.12303673,0.469215888,0.238668037,-0.148453423,0.577207497
Xanthomonas_OG0001742,0,-0.35760666,1,0.282049401,-0.123089306,0.52233677,0.32862729,-0.12303673,0.469215888,0.238668037,-0.148453423,0.577207497
Xanthomonas_OG0001743,0,-0.35760666,1,0.282049401,-0.123089306,0.52233677,0.32862729,-0.12303673,0.469215888,0.238668037,-0.148453423,0.577207497
Xanthomonas_OG0001744,0.18412812,-0.223260858,0.65444308,0.141679111,-0.169053778,0.721640484,0.353304899,-0.100220738,0.443297315,0.219784659,-0.158540783,0.602858433
Xanthomonas_OG0001745,1.057810432,0.414205875,0.087536579,0.004897715,-0.21384306,0.988785945,0.455416642,-0.005812047,0.35041554,0.159612058,-0.190684537,0.692449239
Xanthomonas_OG0001746,0,-0.35760666,1,0.282049401,-0.123089306,0.52233677,0.32862729,-0.12303673,0.469215888,0.238668037,-0.148453423,0.577207497
Xanthomonas_OG0001747,0,-0.35760666,1,0.282049401,-0.123089306,0.52233677,0.32862729,-0.12303673,0.469215888,0.238668037,-0.148453423,0.577207497
Xanthomonas_OG0001748,0.137853917,-0.257024006,0.728024647,0.111990107,-0.178775489,0.772698187,0.351597331,-0.101799492,0.445043712,0.221129612,-0.157822319,0.600994348
Xanthomonas_OG0001749,0,-0.35760666,1,0.565470452,-0.030282637,0.271975353,0.308187222,-0.141934851,0.491827466,0.255741223,-0.139333054,0.554956288
Xanthomonas_OG0001750,0,-0.35760666,1,0.850277035,0.062977726,0.141163678,0.288579214,-0.160063681,0.514541947,0.273717287,-0.129730376,0.532454759
Xanthomonas_OG0001751,0,-0.35760666,1,0.282049401,-0.123089306,0.52233677,0.32862729,-0.12303673,0.469215888,0.238668037,-0.148453423,0.577207497
Xanthomonas_OG0001752,0,-0.35760666,1,0.565470452,-0.030282637,0.271975353,0.308187222,-0.141934851,0.491827466,0.255741223,-0.139333054,0.554956288
Xanthomonas_OG0001753,0.555393928,0.047626624,0.278359516,0.022680212,-0.208020154,0.949117078,0.401054655,-0.056073103,0.397141567,0.188676524,-0.175158516,0.647624807
Xanthomonas_OG0001754,0.6433971,0.111836571,0.227301813,0,-0.215446825,1,0.399020953,-0.057953388,0.399005652,0.189984951,-0.174459564,0.645676602
Xanthomonas_OG0001755,0,-0.35760666,1,0.282049401,-0.123089306,0.52233677,0.32862729,-0.12303673,0.469215888,0.238668037,-0.148453423,0.577207497
Xanthomonas_OG0001756,0.320878189,-0.123483607,0.47766323,0,-0.215446825,1,0.373872722,-0.0812045,0.422792503,0.205797646,-0.166012541,0.622590306
Xanthomonas_OG0001757,0,-0.35760666,1,0.565470452,-0.030282637,0.271975353,0.308187222,-0.141934851,0.491827466,0.255741223,-0.139333054,0.554956288
Xanthomonas_OG0001758,0,-0.35760666,1,0.565470452,-0.030282637,0.271975353,0.308187222,-0.141934851,0.491827466,0.255741223,-0.139333054,0.554956288
Xanthomonas_OG0001759,0.211258736,-0.203465488,0.614810483,0.155496089,-0.164529386,0.699043031,0.355030804,-0.098625031,0.441539128,0.218435314,-0.159261593,0.604734417
Xanthomonas_OG0001760,0,-0.35760666,1,0.282049401,-0.123089306,0.52233677,0.32862729,-0.12303673,0.469215888,0.238668037,-0.148453423,0.577207497
Xanthomonas_OG0001761,0,-0.35760666,1,0.282049401,-0.123089306,0.52233677,0.32862729,-0.12303673,0.469215888,0.238668037,-0.148453423,0.577207497
