gene.id,score_enriched_binary,z.score_enriched_binary,p.value_enriched_binary,score_depletion_binary,z.score_depletion_binary,p.value_depletion_binary,score_enriched_rawcounts,z.score_enriched_rawcounts,p.value_enriched_rawcounts,score_depletion_rawcounts,z.score_depletion_rawcounts,p.value_depletion_rawcounts
Xanthomonas_OG0010819,0.237970969,-0.129186075,0.578134692,0.072214061,-0.259823354,0.846809925,0.241830051,-0.101070939,0.573020223,0.072051654,-0.346386889,0.847126652
Xanthomonas_OG0010820,0.587944873,0.059268752,0.258258799,0.021418415,-0.295760886,0.951878649,0.590669058,0.208045264,0.256643897,0.021866431,-0.399542224,0.950897202
Xanthomonas_OG0010821,0,-0.257329281,1,0.501358667,0.043793183,0.31524001,0,-0.31536345,1,0.492790653,0.099252702,0.321521002
Xanthomonas_OG0010822,0,-0.257329281,1,0.124156928,-0.223074171,0.751351351,0,-0.31536345,1,0.123197367,-0.29221422,0.753013276
Xanthomonas_OG0010823,0,-0.257329281,1,0.249095665,-0.134680968,0.563513514,0,-0.31536345,1,0.246394932,-0.161725455,0.567028736
Xanthomonas_OG0010824,0,-0.257329281,1,0.124156928,-0.223074171,0.751351351,0,-0.31536345,1,0.123197367,-0.29221422,0.753013276
Xanthomonas_OG0010825,0,-0.257329281,1,0.374826187,-0.045727581,0.421865308,0,-0.31536345,1,0.369592694,-0.031236481,0.426979777
Xanthomonas_OG0010826,0,-0.257329281,1,0.374826187,-0.045727581,0.421865308,0,-0.31536345,1,0.369592694,-0.031236481,0.426979777
Xanthomonas_OG0010827,0,-0.257329281,1,0.374826187,-0.045727581,0.421865308,0,-0.31536345,1,0.369592694,-0.031236481,0.426979777
Xanthomonas_OG0010828,0,-0.257329281,1,0.374826187,-0.045727581,0.421865308,0,-0.31536345,1,0.369592694,-0.031236481,0.426979777
Xanthomonas_OG0010829,0,-0.257329281,1,0.501358667,0.043793183,0.31524001,0,-0.31536345,1,0.492790653,0.099252702,0.321521002
Xanthomonas_OG0010830,0,-0.257329281,1,0.249095665,-0.134680968,0.563513514,0,-0.31536345,1,0.246394932,-0.161725455,0.567028736
Xanthomonas_OG0010831,0,-0.257329281,1,0.124156928,-0.223074171,0.751351351,0,-0.31536345,1,0.123197367,-0.29221422,0.753013276
Xanthomonas_OG0010832,0.164461623,-0.168769573,0.68475999,0.129747597,-0.219118816,0.741741201,0.168463591,-0.166083053,0.678478998,0.128803089,-0.286276735,0.743356103
Xanthomonas_OG0010833,0,-0.257329281,1,0.249095665,-0.134680968,0.563513514,0,-0.31536345,1,0.246394932,-0.161725455,0.567028736
Xanthomonas_OG0010834,0,-0.257329281,1,0.249095665,-0.134680968,0.563513514,0,-0.31536345,1,0.246394932,-0.161725455,0.567028736
Xanthomonas_OG0010835,0,-0.257329281,1,0.124156928,-0.223074171,0.751351351,0,-0.31536345,1,0.123197367,-0.29221422,0.753013276
Xanthomonas_OG0010836,0,-0.257329281,1,0.374826187,-0.045727581,0.421865308,0,-0.31536345,1,0.369592694,-0.031236481,0.426979777
Xanthomonas_OG0010837,0.237970969,-0.129186075,0.578134692,0.072214061,-0.259823354,0.846809925,0.241830051,-0.101070939,0.573020223,0.072051654,-0.346386889,0.847126652
Xanthomonas_OG0010838,0,-0.257329281,1,0.124156928,-0.223074171,0.751351351,0,-0.31536345,1,0.123197367,-0.29221422,0.753013276
Xanthomonas_OG0010839,0,-0.257329281,1,0.374826187,-0.045727581,0.421865308,0,-0.31536345,1,0.369592694,-0.031236481,0.426979777
